palavras chaves orbit,,,,,,,,,,,,,,,,
Todo o período,,,,,,,,,,,,,,,,
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,URL final,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.
Ativado,gestão com ia,Correspondência ampla,[Rodrigo][Lead][Defesa da marca],Defesa da marca,Qualificado,,,0,1,0%,BRL,0,0,0%,0,0
Ativado,orbit gestão,Correspondência ampla,[Rodrigo][Lead][Defesa da marca],Defesa da marca,Qualificado,,,144,454,"31,72%",BRL,"3,28","472,48","4,17%",6,"78,75"
Ativado,gestão de metas,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,0,0,--,BRL,0,0,0%,0,0
Ativado,gestao estrategica,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,0,0,--,BRL,0,0,0%,0,0
Ativado,ferramentas de gestão empresarial,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,23,473,"4,86%",BRL,"5,55","127,59",0%,0,0
Ativado,planejamento empresarial,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,0,3,0%,BRL,0,0,0%,0,0
Ativado,planejamento estratégico,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,0,8,0%,BRL,0,0,0%,0,0
Ativado,software planejamento estratégico,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,1,9,"11,11%",BRL,"6,99","6,99",0%,0,0
Ativado,software planejamento estratégico gratuito,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,11,138,"7,97%",BRL,"7,3","80,25",0%,0,0
Ativado,consultoria planejamento estratégico,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,0,17,0%,BRL,0,0,0%,0,0
Ativado,analise swot,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,10,205,"4,88%",BRL,"3,88","38,81",0%,0,0
Ativado,gestão estratégica,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,5,53,"9,43%",BRL,"5,49","27,44",0%,0,0
Ativado,sistema de planejamento estratégico,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,0,0,--,BRL,0,0,0%,0,0
Ativado,administração estratégica,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,0,1,0%,BRL,0,0,0%,0,0
Ativado,etapas do planejamento estratégico,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,0,4,0%,BRL,0,0,0%,0,0
Ativado,software de planejamento estratégico,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,0,0,--,BRL,0,0,0%,0,0
Ativado,matriz swot,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,14,104,"13,46%",BRL,"3,87","54,21",0%,0,0
Ativado,estratégia de negócios,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,7,165,"4,24%",BRL,"3,48","24,36",0%,0,0
Ativado,planejamento estratégico o que é,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,0,0,--,BRL,0,0,0%,0,0
Ativado,gestão estratégica de empresas,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,0,2,0%,BRL,0,0,0%,0,0
Ativado,analise swot empresa,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,0,7,0%,BRL,0,0,0%,0,0
Ativado,planejamento estratégico empresarial,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Qualificado,,,0,0,--,BRL,0,0,0%,0,0
